Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A2,I18,S12,7,20,2407,Archaea,12387,2477,3.39,2,A12,D,D7A12,19279.25,47754695,7.68
A2,J05,S12,7,20,2407,Archaea,6091,1218,3.09,3,A12,D,D7A12,19279.25,23482123,7.37
A2,K05,S13,7,20,2408,Archaea,12827,2565,3.41,1,A13,D,D7A13,10372.73,26606063,7.42
A2,K18,S13,7,20,2408,Archaea,11953,2391,3.38,2,A13,D,D7A13,10372.73,24801207,7.39
A2,L05,S13,7,20,2408,Archaea,36185,7237,3.86,3,A13,D,D7A13,10372.73,75067476,7.88
A2,M05,S14,7,20,2411,Archaea,9146,1829,3.26,1,A14,D,D7A14,9515.01,17402955,7.24
A2,M18,S14,7,20,2411,Archaea,9508,1902,3.28,2,A14,D,D7A14,9515.01,18097551,7.26
A2,N05,S14,7,20,2411,Archaea,9744,1949,3.29,3,A14,D,D7A14,9515.01,18544757,7.27
A2,O05,S15,7,20,2417,Archaea,51101,10220,4.01,1,A15,D,D7A15,7195.01,73533004,7.87
A2,O18,S15,7,20,2417,Archaea,20854,4171,3.62,2,A15,D,D7A15,7195.01,30010388,7.48
A2,P05,S15,7,20,2417,Archaea,30749,6150,3.79,3,A15,D,D7A15,7195.01,44249313,7.65
A2,A06,S16,7,20,4254,Archaea,65141,13028,4.11,1,A16,D,D7A16,25997.61,338696859,8.53
A2,B06,S16,7,20,4254,Archaea,87044,17409,4.24,2,A16,D,D7A16,25997.61,452592387,8.66
A2,B18,S16,7,20,4254,Archaea,65270,13054,4.12,3,A16,D,D7A16,25997.61,339372797,8.53
A2,C06,S17,7,20,2665,Archaea,71940,14388,4.16,1,A17,D,D7A17,27411.11,394390998,8.6
A2,D06,S17,7,20,2665,Archaea,59228,11846,4.07,2,A17,D,D7A17,27411.11,324711966,8.51
A2,D18,S17,7,20,2665,Archaea,104042,20808,4.32,3,A17,D,D7A17,27411.11,570370301,8.76
A2,E06,S18,7,20,6127,Archaea,26813,5363,3.73,1,A18,D,D7A18,12710.08,68164170,7.83
A2,F06,S18,7,20,6127,Archaea,7813,1563,3.19,2,A18,D,D7A18,12710.08,19865858,7.3
A2,F18,S18,7,20,6127,Archaea,29,6,0.77,3,A18,D,D7A18,12710.08,76260,4.88
A2,G06,S19,7,20,6135,Archaea,26083,5217,3.72,1,A19,D,D7A19,13911.15,72574448,7.86
A2,H06,S19,7,20,6135,Archaea,25173,5035,3.7,2,A19,D,D7A19,13911.15,70042619,7.85
A2,H18,S19,7,20,6135,Archaea,,0,3.71,3,A19,D,D7A19,13911.15,0,7.85
A1,K05,S2,7,20,4779,Archaea,47410,9482,3.98,1,A2,D,D7A2,23512.79,222948322,8.35
A1,K06,S2,7,20,4779,Archaea,51378,10276,4.01,2,A2,D,D7A2,23512.79,241617481,8.38
A1,L05,S2,7,20,4779,Archaea,53288,10658,4.03,3,A2,D,D7A2,23512.79,250599368,8.4
A1,L06,S2,7,20,4779,Archaea,54475,10895,4.04,4,A2,D,D7A2,23512.79,256171901,8.41
A2,I06,S20,7,20,6177,Archaea,23772,4754,3.68,1,A20,D,D7A20,17359.95,82529196,7.92
A2,J06,S20,7,20,6177,Archaea,46024,9205,3.96,2,A20,D,D7A20,17359.95,159798327,8.2
A2,J18,S20,7,20,6177,Archaea,35981,7196,3.86,3,A20,D,D7A20,17359.95,124922190,8.1
